"UF","Sexo","Idade","Cor","Anos.de.Estudo","Renda","Altura"
"Rondônia",0,23,8,12,800,1.6
"Rondônia",1,23,2,12,1150,1.74
"Rondônia",1,35,8,15,880,1.76
"Rondônia",0,46,2,6,3500,1.78
"Rondônia",1,47,8,9,150,1.69
"Rondônia",1,34,8,12,790,1.64
"Rondônia",0,57,8,12,3150,1.57
"Rondônia",1,60,8,12,1700,1.61
"Rondônia",1,50,4,14,1800,1.78
"Rondônia",0,26,8,12,1150,1.79
"Rondônia",1,46,8,12,3000,1.79
"Rondônia",1,49,8,6,2500,1.71
"Rondônia",1,52,2,6,1200,1.74
"Rondônia",0,38,8,12,2000,1.75
"Rondônia",0,45,2,12,2000,1.78
"Rondônia",0,34,2,16,6000,1.71
"Rondônia",1,43,8,10,1050,1.79
"Rondônia",0,53,8,16,7000,1.67
"Rondônia",0,57,2,12,2000,1.72
"Rondônia",1,62,8,12,1150,1.77
"Rondônia",0,69,8,1,3030,1.75
"Rondônia",1,41,8,16,4000,1.66
"Rondônia",0,34,8,5,788,1.75
"Rondônia",0,25,8,12,1000,1.73
"Rondônia",0,33,8,9,800,1.78
"Rondônia",1,44,8,5,788,1.67
"Rondônia",0,33,2,16,1600,1.78
"Rondônia",0,65,2,12,1700,1.87
"Rondônia",0,33,8,14,2000,1.89
"Rondônia",0,32,8,12,2400,1.66
"Rondônia",0,43,8,5,3000,1.64
"Rondônia",0,30,8,1,920,1.69
"Rondônia",0,26,2,10,1300,1.68
"Rondônia",0,52,2,15,2000,1.67
"Rondônia",0,62,8,1,1300,1.63
"Rondônia",0,64,6,5,600,1.71
"Rondônia",0,31,8,7,1200,1.76
"Rondônia",0,63,2,3,1000,1.69
"Rondônia",1,40,2,9,1000,1.71
"Rondônia",0,47,4,9,1500,1.67
"Rondônia",0,34,2,7,900,1.65
"Rondônia",0,33,8,6,900,1.81
"Rondônia",0,63,8,6,0,1.65
"Rondônia",1,40,8,2,300,1.76
"Rondônia",0,41,8,6,1600,1.61
"Rondônia",0,28,2,10,1500,1.69
"Rondônia",1,32,8,12,750,1.68
"Rondônia",0,44,2,1,800,1.7
"Rondônia",1,38,2,12,3600,1.6
"Rondônia",0,41,2,4,1500,1.65
"Rondônia",0,62,8,8,3000,1.75
"Rondônia",0,37,8,7,2300,1.58
"Rondônia",0,41,2,12,1500,1.7
"Rondônia",0,41,8,12,4500,1.57
"Rondônia",1,46,2,16,4800,1.73
"Rondônia",1,46,8,12,900,1.66
"Rondônia",1,45,2,7,400,1.45
"Rondônia",0,60,8,2,1050,1.75
"Rondônia",1,38,8,7,850,1.6
"Rondônia",1,32,8,12,650,1.62
"Rondônia",1,39,8,6,300,1.52
"Rondônia",1,49,8,5,900,1.68
"Rondônia",1,34,2,11,1000,1.77
"Rondônia",1,38,8,8,970,1.8
"Rondônia",1,36,4,12,1000,1.7
"Rondônia",1,45,2,7,600,1.67
"Rondônia",0,49,4,10,1000,1.81
"Rondônia",1,44,4,10,800,1.74
"Rondônia",0,73,8,1,0,1.8
"Rondônia",0,56,2,6,200,1.49
"Rondônia",0,33,8,4,1400,1.67
"Rondônia",0,27,2,12,2500,1.83
"Rondônia",0,49,2,4,3000,1.77
"Rondônia",0,57,8,2,1100,1.71
"Rondônia",0,41,8,17,2000,1.71
"Rondônia",0,39,2,11,1400,1.83
"Rondônia",0,23,8,5,788,1.71
"Rondônia",0,39,8,9,1400,1.79
"Rondônia",0,35,4,4,1000,1.65
"Rondônia",0,30,8,4,600,1.75
"Rondônia",0,35,8,4,788,1.77
"Rondônia",0,36,2,4,500,1.72
"Rondônia",0,37,8,4,1500,1.71
"Rondônia",0,60,4,1,1400,1.65
"Rondônia",0,38,2,9,600,1.73
"Rondônia",0,43,2,9,800,1.77
"Rondônia",0,42,2,9,1200,1.74
"Rondônia",0,51,2,9,2500,1.77
"Rondônia",1,33,8,12,1200,1.76
"Rondônia",0,46,2,1,2000,1.71
"Rondônia",1,29,4,15,1300,1.75
"Rondônia",0,40,8,9,800,1.59
"Rondônia",1,46,8,1,550,1.59
"Rondônia",0,25,2,6,975,1.86
"Rondônia",0,32,8,5,1500,1.79
"Rondônia",0,40,2,12,1200,1.67
"Rondônia",0,26,4,9,1145,1.72
"Rondônia",1,49,8,1,1200,1.63
"Rondônia",0,37,8,9,1500,1.7
"Rondônia",0,24,4,12,1200,1.54
"Rondônia",1,40,8,9,850,1.78
"Rondônia",0,39,8,10,1200,1.68
"Rondônia",0,39,8,11,900,1.77
"Rondônia",0,41,8,2,1200,1.67
"Rondônia",0,36,8,9,2500,1.66
"Rondônia",1,37,8,11,400,1.72
"Rondônia",0,28,4,12,1100,1.73
"Rondônia",0,32,2,12,1200,1.65
"Rondônia",0,24,4,12,2500,1.62
