id_compra,sexo_biologico,idade_cliente,regiao_cliente,categoria_produto,preco_unitario,quantidade,total_compra,tempo_entrega,avaliacao
9f86e969-221a-4b1a-9b48-9aba719b61cf,Masculino,33,Sul,Ferramentas e Construção,96.8,2,193.6,18,1
659f9b07-be10-4849-b2ab-dd542498a1e8,Feminino,33,Nordeste,Alimentos e Bebidas,247.68,1,247.68,6,4
d317d7df-1126-42e5-bf4b-0e178bd4e14e,Feminino,36,Sudeste,Eletrônicos,627.46,2,1254.92,8,5
bb99bcf6-b333-493e-9ec2-c39f8695503c,Feminino,21,Sul,Eletrônicos,2025.07,8,16200.56,6,5
898e4624-84e9-4c41-b181-66d3b7ccfef7,Masculino,31,Centro-Oeste,Papelaria e Escritório,99.24,5,496.2,13,5
bbbaecc2-2d97-4c02-a69c-77ccfb2c8a26,Masculino,29,Nordeste,Beleza e Cuidados Pessoais,131.2,1,131.2,13,5
923d6915-1488-485b-9398-4fbcf7146496,Masculino,44,Centro-Oeste,Casa e Mobílias,909.83,2,1819.66,14,5
09754fef-f183-4e8f-a3c7-3cf9c5dbe37a,Feminino,19,Sudeste,Casa e Mobílias,1099.0,3,3297.0,11,4
580308a0-deda-4126-8244-3fd7f3e68940,Feminino,24,Nordeste,"Roupas, Calçados e Acessórios",1106.69,3,3320.07,10,3
77fda6e5-22e8-42ff-b5d3-70fda0d2ba12,Feminino,36,Sudeste,Casa e Mobílias,1311.32,7,9179.24,14,3
5c192340-c7fa-4466-ac0e-a76543048f7a,Masculino,32,Sudeste,Eletrônicos,917.12,1,917.12,5,4
b0494b41-df5b-488f-b305-43dda2916737,Feminino,24,Centro-Oeste,Livros,300.07,2,600.14,10,4
d8e3e583-2709-4b52-9287-5d47ad1483d3,Feminino,41,Nordeste,Casa e Mobílias,86.28,2,172.56,16,4
7c7e7f36-c64a-4352-aeae-246b823d9018,Masculino,26,Centro-Oeste,Ferramentas e Construção,159.19,6,955.14,8,5
53a4c481-7db8-4e14-bdf8-4f01f7873c20,Masculino,39,Norte,"Roupas, Calçados e Acessórios",796.02,1,796.02,6,2
7f6a66c1-e50f-450e-b7cb-cdb7892ce4b7,Masculino,39,Centro-Oeste,Eletrônicos,328.04,5,1640.2,3,5
c1c0bd95-18ce-4092-aebb-eccd145d33f8,Masculino,26,Norte,Ferramentas e Construção,613.36,7,4293.52,14,5
b8b1fa37-fb1b-41d3-8eb5-47fa7b274b25,Feminino,27,Sul,"Roupas, Calçados e Acessórios",779.99,5,3899.95,12,3
e3cfcfa7-b569-413c-a8cb-8fc76020079d,Masculino,32,Norte,Eletrônicos,830.75,4,3323.0,8,5
3fbe86d2-3a16-4473-ba8c-94b25549d56f,Masculino,48,Sudeste,Casa e Mobílias,82.24,1,82.24,8,1
82e704c6-e9fc-4d7d-a0af-31dd28fd3e27,Feminino,30,Sudeste,Brinquedos,207.97,5,1039.85,13,2
1524722b-089b-469b-b9b5-2d12afe4e6df,Masculino,40,Nordeste,Casa e Mobílias,1320.33,2,2640.66,14,4
202af6c3-c661-40d1-8d17-30d6c24e95af,Masculino,17,Sudeste,Papelaria e Escritório,142.74,3,428.22,12,5
96a36453-d0ad-4b7c-b3aa-c8bcd44c473a,Masculino,29,Centro-Oeste,Ferramentas e Construção,498.1,5,2490.5,15,5
c7513557-5652-4a1d-a52b-99211ad8723e,Masculino,38,Norte,Papelaria e Escritório,98.78,7,691.46,13,1
1f746765-30b9-4880-8284-202d77edbac5,Feminino,22,Centro-Oeste,Esporte e Lazer,488.39,6,2930.34,15,3
9cd7f435-94da-4045-9712-9366477cb8d8,Masculino,47,Centro-Oeste,Casa e Mobílias,1077.62,2,2155.24,18,1
07fb8864-15b3-47a2-b79c-99502e184f12,Feminino,27,Norte,Esporte e Lazer,83.6,7,585.2,15,4
34e17269-ca33-4697-892e-92395b737ea8,Feminino,31,Sudeste,"Roupas, Calçados e Acessórios",983.31,1,983.31,13,1
9987f4ee-5de8-4a72-a20d-028d5a1698b5,Masculino,52,Centro-Oeste,Casa e Mobílias,826.9,3,2480.7,14,4
4167005a-baae-4eb6-bc06-4bef52b7e3fe,Feminino,30,Nordeste,Ferramentas e Construção,203.31,3,609.93,10,5
190f7422-ff74-4bd1-b700-de2535a56d81,Masculino,42,Sul,Ferramentas e Construção,364.61,7,2552.27,15,5
d30fcde1-313a-4b8d-b66d-6bd8b9e09c9d,Masculino,25,Sul,Eletrônicos,1391.11,6,8346.66,4,3
60fcb8d9-126c-4917-b9b3-dca3b9026452,Feminino,22,Sudeste,"Roupas, Calçados e Acessórios",983.66,4,3934.64,4,4
9b3a4b45-6165-4991-91f1-8f38bda90da2,Feminino,32,Nordeste,Casa e Mobílias,644.98,3,1934.94,15,5
b4a2eeaf-a7c7-43c0-99d9-d1222dcd5f73,Feminino,23,Sul,Casa e Mobílias,211.85,3,635.55,17,3
f1e5fdb2-8f53-48ec-8187-a56b4a217e6e,Masculino,36,Sul,Casa e Mobílias,1177.63,6,7065.78,11,2
2812e284-2bad-440d-ab55-560fb8ae2fcb,Masculino,44,Centro-Oeste,"Roupas, Calçados e Acessórios",1049.17,3,3147.51,15,5
d26047e8-c321-414d-b26e-345a4978c3bf,Feminino,35,Nordeste,"Roupas, Calçados e Acessórios",1145.0,7,8015.0,8,5
23aabb4c-c6cf-4af5-9065-0140b55c40f4,Masculino,29,Sudeste,Ferramentas e Construção,63.65,2,127.3,16,2
e2293554-1b31-47cd-ad8b-3853ed69af5d,Masculino,38,Sudeste,"Roupas, Calçados e Acessórios",965.2,6,5791.2,8,4
9a7d4b03-c4ca-45b7-adc1-d99f86a0258d,Feminino,32,Sul,"Roupas, Calçados e Acessórios",749.73,2,1499.46,4,2
c7e587d5-1639-4880-be1e-77763e97955b,Masculino,34,Sudeste,"Roupas, Calçados e Acessórios",674.9,1,674.9,8,5
57d97f3c-19c1-4620-9224-e6f947465b62,Feminino,35,Nordeste,"Roupas, Calçados e Acessórios",476.29,5,2381.45,5,5
90e307e4-0d40-4f8f-b958-0f790d46e982,Masculino,52,Nordeste,Ferramentas e Construção,682.37,1,682.37,17,5
337f265b-bb17-440b-b729-9dde68762c35,Feminino,33,Sul,Ferramentas e Construção,529.84,7,3708.88,13,2
be92bb21-8516-42e2-b221-aaa38101fbe9,Masculino,29,Sul,Alimentos e Bebidas,246.86,3,740.58,10,1
08c6dc51-dd9d-4422-afa5-83f72cfad264,Feminino,30,Nordeste,"Roupas, Calçados e Acessórios",1149.14,5,5745.7,8,5
776f40f4-b704-4901-96c3-c00db35e9b9a,Feminino,35,Sudeste,Eletrônicos,1466.47,7,10265.29,7,5
e5fb11ac-1ea8-46d0-a37e-1cea75c257b1,Masculino,33,Nordeste,Alimentos e Bebidas,330.44,10,3304.4,8,2
2f68bf2a-8d9b-4b25-92bd-c95827da7c83,Feminino,30,Sudeste,"Roupas, Calçados e Acessórios",323.24,1,323.24,13,5
b4bfa60d-a991-4336-94bc-d77f1847699b,Feminino,30,Sul,Eletrônicos,1293.7,1,1293.7,6,5
de7fa90b-443c-4a76-8ce6-4188a22380f2,Feminino,21,Sudeste,Esporte e Lazer,146.94,4,587.76,7,5
fc341ae5-069a-4eef-9056-9f1e10e36e25,Feminino,25,Nordeste,Ferramentas e Construção,97.17,2,194.34,11,5
16e4f504-cf6c-45c6-aada-e3ad99d00ea5,Feminino,33,Sudeste,Papelaria e Escritório,78.05,7,546.35,14,3
4865b19d-4fbe-4360-a0ce-76cc959a49a8,Feminino,30,Sul,Brinquedos,343.02,3,1029.06,8,1
87d81f53-193e-4ec0-8062-c8d8ec142f74,Masculino,48,Sudeste,Eletrônicos,1289.92,5,6449.6,3,5
18099a8c-53dc-4c1f-8347-43c3fe392500,Masculino,40,Norte,Esporte e Lazer,87.44,4,349.76,15,3
dbcb78e3-b561-48e1-ba67-e2dc842e53b9,Masculino,29,Centro-Oeste,Eletrônicos,637.07,6,3822.42,8,5
24a0c2a2-0dec-42a8-8ac8-f24f878cbeac,Masculino,39,Sudeste,Beleza e Cuidados Pessoais,108.39,3,325.17,12,3
7c1da24d-871d-4a84-a21b-b25ad422676a,Masculino,44,Sudeste,Livros,177.15,2,354.3,11,1
7dd0a745-207a-41bc-a3bf-c5ff6e1cd274,Masculino,47,Sudeste,Livros,354.72,1,354.72,9,3
69a935e7-d46f-455c-bedb-03971056edf0,Feminino,30,Centro-Oeste,Papelaria e Escritório,63.44,5,317.2,7,4
153ac0a2-be4b-4627-a168-6bba982c656e,Masculino,48,Nordeste,Casa e Mobílias,447.53,3,1342.59,17,1
eaa00fec-e142-41b6-abdb-f06d44ef359f,Masculino,43,Sudeste,Papelaria e Escritório,54.96,1,54.96,14,3
bff2cb9a-456f-40d4-b209-23b47f795da0,Feminino,40,Sul,Alimentos e Bebidas,153.75,2,307.5,8,3
7b567094-14e8-46fd-80a5-75f963380482,Masculino,41,Nordeste,Papelaria e Escritório,70.37,1,70.37,16,3
40562311-2235-45d1-b2ea-0de552058ff8,Feminino,16,Nordeste,Casa e Mobílias,392.58,2,785.16,14,5
150696e8-341e-4b06-8ce9-e920591d4b48,Masculino,42,Centro-Oeste,Alimentos e Bebidas,175.63,1,175.63,8,1
d4ae5f46-b6b8-4b2b-94e1-ccf7f072c91c,Feminino,28,Sul,Eletrônicos,369.91,2,739.82,11,1
e7b57ec6-bb85-475e-be88-b47a41febd6d,Feminino,25,Nordeste,Alimentos e Bebidas,139.51,3,418.53,9,3
dc7d3b27-e944-46d7-82f0-c23c787d5091,Masculino,27,Nordeste,Eletrônicos,643.61,4,2574.44,8,1
8c80dde0-98b8-4705-9b00-3171a8fc0b82,Masculino,36,Sul,Beleza e Cuidados Pessoais,176.99,5,884.95,15,2
dae9904c-de81-4711-b539-157838cb7e9e,Feminino,35,Centro-Oeste,Papelaria e Escritório,93.21,4,372.84,16,1
226e4a73-5c32-4026-8ace-84a6b3d146a1,Feminino,37,Nordeste,Ferramentas e Construção,48.3,7,338.1,13,3
86789a3e-2b1f-42f9-9d30-381648bb723c,Feminino,28,Sul,Eletrônicos,1069.92,1,1069.92,6,2
8aeba360-ccd6-4162-93e9-067f3c6b4fa1,Feminino,29,Centro-Oeste,Alimentos e Bebidas,190.8,2,381.6,4,5
adf90075-09e3-414c-bae3-27293414388d,Masculino,41,Norte,Ferramentas e Construção,179.21,2,358.42,13,2
95213be0-73aa-4ab3-861d-90342d9d5f06,Masculino,33,Centro-Oeste,Papelaria e Escritório,147.35,2,294.7,15,5
14e8a3b0-abf1-4065-bf05-e4d5b250abf5,Masculino,40,Norte,"Roupas, Calçados e Acessórios",698.22,3,2094.66,13,4
d22017ce-8ec2-4911-969f-1621b85a4e7b,Feminino,32,Nordeste,Brinquedos,52.88,2,105.76,8,5
8f9a303d-5395-4df8-ad08-797cbb7c13f0,Feminino,26,Nordeste,"Roupas, Calçados e Acessórios",535.85,4,2143.4,4,1
6bab3da0-75a2-427e-b831-88404ac96448,Masculino,39,Nordeste,Casa e Mobílias,1369.62,4,5478.48,18,3
fa44d7e6-e17b-4fef-8326-e9b3035699e5,Masculino,35,Sul,Livros,116.94,3,350.82,16,3
6db7c1af-111c-4a9e-8206-1e10563e7bef,Masculino,34,Sudeste,"Roupas, Calçados e Acessórios",993.34,2,1986.68,10,1
21442d10-be9e-40c3-8660-15d83525b266,Masculino,32,Centro-Oeste,Brinquedos,227.25,3,681.75,12,1
